start result analysis from detection_results.pkl

    Compute the ratio of prediect correct V.S. class error V.S. localization error V.S. BG
    for different category objects' in multi scale
    
IoU threshold is between 0.1 and 0.5
Score threshold is 0.5
ClassName       	Detection Number	Correct                                         	Class error                                     	Localization error                              	BG trap                                         
                	                	small           	medium          	large           	small           	medium          	large           	small           	medium          	large           	small           	medium          	large           
cow             	           414.0	  0.294685990338	  0.246376811594	  0.270531400966	             0.0	 0.0024154589372	 0.0024154589372	  0.024154589372	 0.0507246376812	 0.0386473429952	 0.0338164251208	 0.0144927536232	 0.0217391304348
elephant        	           315.0	 0.0444444444444	  0.257142857143	  0.498412698413	             0.0	             0.0	 0.0031746031746	             0.0	  0.047619047619	  0.107936507937	 0.0031746031746	 0.0126984126984	 0.0253968253968
bear            	            69.0	             0.0	  0.144927536232	  0.739130434783	             0.0	             0.0	             0.0	             0.0	 0.0144927536232	 0.0724637681159	 0.0144927536232	             0.0	 0.0144927536232
zebra           	           302.0	 0.0695364238411	  0.228476821192	  0.503311258278	             0.0	             0.0	             0.0	 0.0198675496689	 0.0695364238411	 0.0662251655629	0.00662251655629	 0.0198675496689	 0.0165562913907
giraffe         	           252.0	  0.015873015873	   0.15873015873	  0.638888888889	             0.0	             0.0	             0.0	 0.0238095238095	 0.0396825396825	 0.0833333333333	 0.0119047619048	0.00396825396825	 0.0238095238095
backpack        	           245.0	  0.159183673469	  0.342857142857	  0.118367346939	 0.0163265306122	 0.0408163265306	0.00816326530612	 0.0326530612245	   0.10612244898	 0.0571428571429	 0.0163265306122	 0.0612244897959	 0.0408163265306
umbrella        	           412.0	 0.0873786407767	   0.31067961165	  0.330097087379	 0.0121359223301	 0.0145631067961	0.00485436893204	 0.0218446601942	 0.0752427184466	 0.0873786407767	 0.0121359223301	 0.0218446601942	 0.0218446601942
handbag         	           370.0	  0.148648648649	  0.237837837838	 0.0945945945946	 0.0756756756757	 0.0567567567568	0.00810810810811	 0.0675675675676	 0.0837837837838	 0.0324324324324	 0.0837837837838	 0.0891891891892	 0.0216216216216
tie             	           225.0	  0.324444444444	  0.248888888889	  0.155555555556	 0.0666666666667	             0.0	0.00444444444444	 0.0622222222222	 0.0577777777778	            0.04	 0.0222222222222	 0.0133333333333	0.00444444444444
suitcase        	           305.0	  0.127868852459	  0.314754098361	  0.285245901639	 0.0131147540984	  0.016393442623	0.00655737704918	 0.0295081967213	 0.0852459016393	 0.0622950819672	             0.0	 0.0295081967213	 0.0295081967213
frisbee         	           111.0	  0.387387387387	  0.432432432432	 0.0900900900901	             0.0	             0.0	             0.0	  0.018018018018	  0.018018018018	0.00900900900901	  0.036036036036	             0.0	0.00900900900901
skis            	           258.0	  0.116279069767	  0.259689922481	  0.135658914729	 0.0116279069767	  0.015503875969	0.00387596899225	 0.0968992248062	  0.147286821705	  0.077519379845	  0.062015503876	  0.062015503876	 0.0116279069767
snowboard       	            55.0	 0.0909090909091	  0.418181818182	  0.236363636364	 0.0363636363636	 0.0363636363636	             0.0	 0.0363636363636	  0.109090909091	             0.0	             0.0	 0.0363636363636	             0.0
sports ball     	           244.0	  0.680327868852	  0.110655737705	 0.0204918032787	0.00819672131148	             0.0	0.00409836065574	  0.077868852459	0.00819672131148	             0.0	 0.0737704918033	  0.016393442623	             0.0
kite            	           385.0	   0.47012987013	  0.150649350649	  0.106493506494	  0.012987012987	0.00519480519481	  0.025974025974	 0.0363636363636	  0.038961038961	 0.0519480519481	 0.0337662337662	 0.0415584415584	  0.025974025974
baseball bat    	           130.0	  0.115384615385	  0.376923076923	  0.169230769231	0.00769230769231	0.00769230769231	             0.0	 0.0538461538462	  0.123076923077	 0.0846153846154	 0.0384615384615	 0.0153846153846	0.00769230769231
baseball glove  	           132.0	  0.295454545455	  0.378787878788	  0.030303030303	 0.0378787878788	0.00757575757576	             0.0	 0.0227272727273	0.00757575757576	 0.0151515151515	  0.166666666667	 0.0378787878788	             0.0
