start result analysis from detection_results.pkl
python/lib/python2.7/site-packages/matplotlib/backends/
svg
svg
matplotlib.backends.backend_svg

    Compute the ratio of prediect correct V.S. class error V.S. localization error V.S. BG
    for different category objects' in multi scale
    
IoU threshold is between 0.1 and 0.5
Score threshold is 0.01
ClassName       	Detection Number	Correct                                         	Class error                                     	Localization error                              	BG trap                                         
                	                	small           	medium          	large           	small           	medium          	large           	small           	medium          	large           	small           	medium          	large           
================= unsorted =================
elephant        	           579.0	 0.0328151986183	  0.117443868739	   0.27633851468	0.00345423143351	0.00172711571675	0.00690846286701	 0.0397236614853	  0.167530224525	   0.27115716753	0.00690846286701	 0.0293609671848	 0.0466321243523
bear            	            83.0	 0.0240963855422	  0.120481927711	  0.638554216867	             0.0	             0.0	             0.0	             0.0	 0.0120481927711	  0.168674698795	 0.0120481927711	             0.0	 0.0240963855422
zebra           	           530.0	 0.0490566037736	  0.128301886792	             0.3	             0.0	             0.0	             0.0	 0.0754716981132	  0.166037735849	  0.198113207547	  0.022641509434	 0.0339622641509	 0.0264150943396
giraffe         	           429.0	  0.013986013986	  0.100233100233	  0.386946386946	             0.0	             0.0	0.00932400932401	 0.0512820512821	  0.114219114219	  0.207459207459	  0.041958041958	  0.048951048951	  0.025641025641
backpack        	           910.0	 0.0923076923077	  0.149450549451	 0.0483516483516	 0.0758241758242	 0.0648351648352	 0.0153846153846	 0.0736263736264	   0.16043956044	 0.0681318681319	 0.0912087912088	  0.112087912088	 0.0483516483516
umbrella        	          1066.0	  0.046904315197	  0.124765478424	  0.148217636023	 0.0403377110694	 0.0459662288931	 0.0187617260788	  0.102251407129	  0.163227016886	  0.180112570356	 0.0356472795497	 0.0553470919325	 0.0384615384615
handbag         	          1504.0	 0.0917553191489	   0.10704787234	 0.0359042553191	 0.0957446808511	 0.0531914893617	 0.0106382978723	  0.103723404255	  0.109707446809	 0.0598404255319	  0.178191489362	  0.115026595745	 0.0392287234043
tie             	           516.0	  0.172480620155	  0.118217054264	 0.0872093023256	  0.201550387597	0.00193798449612	0.00387596899225	  0.104651162791	 0.0852713178295	  0.093023255814	 0.0833333333333	 0.0368217054264	 0.0116279069767
suitcase        	           810.0	 0.0765432098765	  0.108641975309	  0.133333333333	 0.0148148148148	 0.0283950617284	 0.0148148148148	  0.111111111111	  0.220987654321	  0.167901234568	 0.0234567901235	 0.0567901234568	 0.0432098765432
frisbee         	           133.0	  0.345864661654	  0.375939849624	 0.0751879699248	             0.0	             0.0	             0.0	 0.0526315789474	 0.0451127819549	 0.0225563909774	 0.0676691729323	0.00751879699248	0.00751879699248
skis            	          1189.0	 0.0521446593776	 0.0689655172414	 0.0344827586207	 0.0706476030278	 0.0201850294365	0.00588730025231	  0.225399495374	  0.184188393608	 0.0698065601346	  0.129520605551	  0.112699747687	 0.0260723296888
snowboard       	           172.0	 0.0755813953488	  0.156976744186	 0.0872093023256	 0.0697674418605	 0.0523255813953	             0.0	  0.156976744186	  0.145348837209	 0.0813953488372	  0.110465116279	 0.0581395348837	0.00581395348837
sports ball     	           473.0	  0.376321353066	 0.0591966173362	 0.0105708245243	 0.0253699788584	             0.0	0.00211416490486	  0.319238900634	  0.014799154334	0.00422832980973	  0.173361522199	  0.014799154334	             0.0
kite            	           905.0	  0.188950276243	 0.0618784530387	 0.0585635359116	 0.0397790055249	 0.0187845303867	  0.032044198895	  0.209944751381	  0.103867403315	  0.121546961326	 0.0596685082873	 0.0519337016575	 0.0530386740331
baseball bat    	           285.0	 0.0701754385965	  0.185964912281	  0.108771929825	 0.0175438596491	 0.0210526315789	0.00350877192982	 0.0982456140351	  0.238596491228	  0.133333333333	 0.0666666666667	 0.0421052631579	 0.0140350877193
baseball glove  	           310.0	  0.161290322581	   0.18064516129	 0.0161290322581	  0.106451612903	 0.0161290322581	             0.0	 0.0838709677419	 0.0290322580645	 0.0161290322581	   0.31935483871	 0.0709677419355	             0.0
